lat,lon,region,state,station,H,P,R,T,V,sH,sP,sR,sT,sV
-1.73472221,-47.0575,S,PR,NOVA FATIMA,80.30082573682797,1002.8504961311381,128.7017857142857,26.16381434816739,2.0361718025131115,13.327261369064495,1.7662917780334941,95.14947525675272,3.0113536983269653,1.1125033784229672
-2.50277777,-54.72027777,S,SC,ITAJAI,80.67702833350589,994.6939713006371,201.95416666666662,26.509361149212353,1.2848734582699441,10.465393827175786,1.7253286994586166,103.34750629711765,2.258258144012348,0.8014685908556126
-4.28999999,-47.55,NE,MA,TURIACU,70.90617857410518,982.9704968586052,56.5,25.268400855798017,1.1023521943365384,13.800192713844913,1.6873918744459295,18.18274580193979,3.0606746540236194,0.8829374486654907
-6.23722221,-57.77499999,S,RS,CANELA,81.57042776993343,998.7620778017517,36.041666666666664,26.299276876039357,0.33749905187310847,16.32179761669752,1.9208332116747024,34.90536201675412,3.5561586870289665,0.670575019260368
-15.93527777,-48.13749999,S,SC,SAO MIGUEL DO OESTE,63.96281877152521,905.2541590896411,96.67166666666664,22.27824893393571,2.312731466970953,17.754385015412968,1.7366543801125065,49.651177164726484,4.032969351776248,1.539886417508238
-22.5525,-55.71638888,CO,GO,PIRES DO RIO,71.71155460052078,938.0020007169678,143.13068181818178,21.808544540690278,2.5067494725216437,17.037256633870825,2.6100031515312767,76.97756066985056,4.545690681397768,1.2849653401418415
-8.76388888,-63.47499999,N,AC,FEIJO,78.38280886532523,994.2675620542,163.51012205387198,26.529497831224116,1.3826775854073412,14.025794497574571,2.568371451636445,77.6102077016606,3.2748144451244374,0.8969789669315943
-12.73472221,-60.15777777,S,SC,XANXERE,72.45426657821655,946.4642453347633,171.63836700336694,24.47654103891733,1.7820912014165897,14.673478187675862,1.8728507028845185,67.6031290441333,3.311104990351012,0.9427193865777032
-11.44583333,-61.43416666,CO,GO,IPORA,72.66812100553379,989.4547989618873,165.44755050505043,26.355844513608872,1.3362442443578082,15.321337253365526,2.094623072543414,66.42365114869911,3.626379969820881,0.8080673028127552
-9.94888888,-62.96194444,S,SC,FLORIANOPOLIS,80.0830098704446,995.6784705527643,155.1666203703703,26.079989369908176,1.3925736996688425,14.982453254114054,2.0298224444243256,85.08483532114379,3.459938446934824,1.0064700823854071
-12.42999999,-64.41999999,SE,SP,PIRACICABA,65.00200976988141,997.4990118736621,23.75,25.16180897911522,1.3707023521689647,17.065659846123783,2.4280615865816184,,4.685471686029189,1.0915449679220004
-12.75055555,-60.14916666,S,RS,SAO LUIZ GONZAGA,81.83443263774554,942.899441560061,18.791666666666668,24.769749824018533,2.531849841631263,12.293798040009934,2.042241031557292,1.9445436482630056,3.0338384488841594,1.5895483858893398
-10.78999999,-65.33277777,NE,BA,ITABERABA,74.43506519733614,995.2364091826266,62.5,26.843505668973478,1.4223529045951862,16.75502606778349,2.3263537381032187,26.355798207862225,3.592761587348278,1.4041227138719765
2.81694443,-60.69083333,NE,BA,SANTA RITA DE CASSIA,68.80013957737147,1001.7639452203554,126.65180555555553,27.69075039206405,1.8703339677893405,13.878810995414213,1.8950531386566274,83.19914076446403,3.0229663778059446,0.8355851952886518
0.94777777,-59.74638888,SE,ES,VITORIA,80.04289382110564,995.108599402395,131.04166666666666,26.108230754467133,0.5617409942705197,14.918202483132921,1.8625260806275634,27.577164466275352,3.1891152524521815,0.7999343823924758
4.47749999,-61.14916666,NE,PI,PICOS,78.49831645278329,911.0166176704222,207.5,22.679702243316942,1.7493461128161083,4.706831736399863,2.64251522280326,131.52186130069785,2.266209038548312,0.8522005411556817
